target,text
0,Need a hug 
0,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
0,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
0,about to file taxes 
0,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
0,@angry_barista I baked you a cake but I ated it 
0,this week is not going as i had hoped 
0,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
0,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
0,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
0,is strangely sad about LiLo and SamRo breaking up. 
0,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
0,I need a hug 
0,Ugh....92 degrees tomorrow 
0,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
0,Damm back to school tomorrow 
0,@katortiz  Not forever... See you soon!
0,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
0,No new csi tonight.  FML
0,sleep soon... i just hate saying bye and see you tomorrow for the night. 
0,missin' the boo 
0,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
0,Hanging in Crooners. Wanna sing. Can't. Sucks. 
0,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. 
0,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine "
0,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
0,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
0,@ozesteph1992 Shame to hear this Stephan 
0,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left "
0,Going to sleep. Hoping tomorrow is a better day. 
0,I don't understand... I really don't 
0,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
0,No phantasy star yesterday  going to work...
0,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
0,Crazy wind today = no birding  http://ff.im/1XTTi
0,currently at work.. 
0,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
0,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
0,"Staying at a friends house...house sitting, neighbors are SO loud-having a party "
0,Borders closed at 10 
0,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days 
0,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheï¿½s not well "
0,couldn't get shit done today ~ i'm so screwed 
0,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. "
0,i hate to see the spartans so sad 
0,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
0,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
0,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
0,@charlietm I know right. I dunno what is going on with twitter. 
0,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
0,"im lonely  keep me company! 22 female, california"
0,bad day at the betfair office 
0,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
0,@SarahReedSC treaty isn't defined 
0,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
0,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
0,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
0,help me forget 8th april &amp; 13th july! 
0,i have to take my sidekick back. 
0,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
0,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids"
0,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. 
0,@huntermoore I don't want him to ever punch me.  
0,@ThaStevieG but what I really want is my old bass back 
0,Think I'm going to bed. Goodniight. I hate this 
0,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??
0,@jokerrrr It stillllll hasn't arrived 
0,"Mraow, I feel like dancing, but first art school wants to rape me some more. "
0,ChiefDelphi is down 
0,playing game at home! my new boss didn't call me yet... 
0,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t
0,i have to fill two hours 
0,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!"
0,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail "
0,"@griffmiester no exchanging for me, my laptop hasn't arrived "
0,Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it 
0,New Testament Test at 9:30 am   
0,@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke 
0,is in love with scrappy and is missin him already 
0,Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax 
0,Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka
0,@bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!
0,"Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe."
0,@hummiemd I KNOW! I was really surprised since everyone recommends them on youtube.  I have to call them tomorrow and figure it all out.
0,Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..
0,i left my IDs at the location and now i can not go out to bars  FUCKKKKKKKKKKKKK
0,@celycarmo i'm sorry I don't understand your last comment 
0,"@treesahquiche okay, about the applepears, I've talked to a few people and they've ALL had them before. No one ever told me, never "
0,"@jennifermf I know!  I'm a night owl by nature, hahaha Am I a time zone behind you? It's almost 1 here"
0,@jillianfish tweet something damn it!  and hang out with me please? 
0,@EazyDoesIt87 NEGATIVE.. you lost my vote of confidence 
0,"You know, I was thinking... I need money "
0,@AmaNorris wow that last tweet made me seem like a giant sexist...sorry about that 
0,"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!! "
0,Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!! 
0,@jeffreecuntstar  I don't have a garage.  But you can park in my driveway!
0,@margaretcho what happened to your show it was the hightlight of my life 
0,I wanna sneak into the zoo and play with the kitties 
0,Crap. I need more dresses too. 
0,I wanna be in a punk rock band again 
0,Just lost $160 
0,"@stuiy never again will I click on a link that screams, &quot;I'm a spider, I'm a spider&quot;. I should have known better. yucky "
0,@pratama Same iMac came out $320 more in Indonesia than the States. 
0,Dammit... I need to stop buying furniture 
0,Seems jRuby support for hpricot is now two versions behind 
0,Logging out. I need to study.... 
0,"Good morning! Ready 2 go, but I want 2 go back 2 bed "
0,wheat bread from the dollar store just doesn't toast nicely  going over my taxes and calling it an early night
0,Fell asleep . . . Really didn't mean too  *christina*
0,is missing playing my trumpet 
0,Well bed time now. 1 am. *sighs* Back to 6 am mornings for a week on Wednesday. 
0,"@MaryBethune oh no! with everything that happened today, i forgot we were going dress shopping for the opera tomorrow. "
0,Turtles are better than my Mac - lasts longer and moves faster 
0,@miamiiboii dead @ yu gettin on wen im leavin 
0,@arlenecd PLEASE TELL ME THAT'S SOMEWHERE CLOSE TO CALIFORNIA!!! LOL! 
0,stupid arranged marriages... i'll convert so you can marry me...love you! 
0,sad that the 'feet' of my macbook just fell off : sad that the 'feet' of my macbook just fell off 
0,@heidimontag lol I kant believe cam got beat upp sooo embarasssiiiin 
0,Wahh  no CSI anywhere! DVR'ed I Love Money 2 though - gonna watch it then sleep - Goodnight Tweeters&lt;3
0,Struggling hard with Inventory 
0,Evicted 
0,@daniela_95616 my english professor would be ashamed. 
0,"my heart is broken every morning dropping Foo at pre school, now i understand when moms say &quot;he has my heart broken&quot;. "
0,@Born_4_Broadway Lost  and it was St. Ignacius Prepatory School. Haha.
0,ugh horrible ending to the sandra kantu story  prayers go out.
0,@AmandaEnglund Sorry to hear about your loss.     There have been many this year so far.
0,I've been stuck in this house for two days 
0,@thousand_miles no 
0,"Maybe one of these years I'll get a tax return.  A girl can dream, right?"
0,has hurt her ankle!! and is going to the dr 
0,"@louie094: shooting!?!! be careful, luisa "
0,@stephenkruiser i had 2 put my dog down today too  someone ran her over
0,@NevadaWolf Sorry to hear about your DNF run tonight. Always a risk to get bad coords on an FTF!! 
0,"@moony394 OHH! OMG. LMAO. I'm crying right now, LOL! KUTNERRRR was the best! "
0,watching Fallon with mom and working on a project...school is hard 
0,KUTNERRRR!  WHY??? WHY??????  And to think that 13 is still on the show?? UGH. Kutner/Kal Penn - you've been the bright star in Ho ...
0,@heidimontag just got done watching the hills! loved it! excited for the next episode! and im sad this is the last season! 
0,"@emitstop So true, I have it and don't use it "
0,"Spring break is here at last, but no one is here to celebrate "
0,"I am home missing my baby  Busy week ahead Fri is a chill day with my guy and kids, Egg hunt Sat, Spiral and DMB Sat night and Easter!"
0,@stephenkruiser that's horrible  sorryto hear that.
0,i thought you would support me on this 
0,"augh, eff sarth  i stole some of MIL's nail polish, its pretty! =o"
0,wishes for good old cartoons to come back. ie: Captain Planet! Where's Wally! Daria! (sadness  )
0,"iLearn is down and out, great considering finals are this week... "
0,Also I shouldve Bern asleep an hour ago 
0,I want to be back in LA 
0,@georgeruiz Unfortunately one of those moments wasn't a giant squid monster. 
0,cant sleep but im still feelin like a piece of shit 
0,gross i have a pimple 
0,is going to have a late one at MQU today 
0,im so tired of work...i need a life.... 
0,should've been asleep two hours ago 
0,@stephenkruiser So sorry to hear about your dog. 
0,UpdatingFFE.  That gives me nothing to do for a good twenty minutes!
0,Have an invite for &quot;Healthy Dining&quot; session at Ashok Hotel today with Exec Chef R.Chopra but damn workload - will have to skip it! 
0,"Just been playing with the new Mobbler v0.4.0 and it adds some great new features, but won't play music on my E71, like v0.3.5 did "
0,blegghhhh i have to go to work 
0,Back at work  @ John Muir Dr http://loopt.us/KoqAbg
0,Sleep time.  Tomorrow is gonna suck 
0,CASH RULES EVERYTHING AROUND ME 
0,Back to work. I get to spend the next 8 hours alone in the dispatch room 
0,went to ihop again. Great for a diet   At least there were no kung foo pancakes this time. -Rachel-
0,The internet is hating me. Night i s'pose. 
0,I accessed oneindia.mobi from a Google phone (Android). It doesn't support Indic languages 
0,getting ready to clean the house from top to bottom 
0,It's only tuesday 
0,i might break down and eat some buffalo wings tomorrow 
0,"Sittin here w/Kayla, I really really reallly dis-like having a brother.  He doesn't know when to stop. I'm waiting for the day when one of"
0,Work laptop is officially dead .. Not happy at all.. 
0,@heidimontag why do you put up with him!!!!!  You should listen to your mom 
0,IS PHONELESS  ...NOW OFF TOO SLEEP
0,it is really cold 
0,Can't sleep  I hate these nights when I try to go to bed early and stay awake for hours. Poo!
0,"Cannot sleep....WIDE AWAKE!!...and I gotta go to work later too. Boy, am I going to have a crappy day. "
0,"Well, that sucked. "
0,i have to be out of my place in 3 days...any help i can get packing/painting/cleaning is much appreciated. oh. and RIP my wall  
0,@stewiebrittany no  i dont even know how to ride it
0,Smugness gone. My train also failed to turn up so I'm heading for Victoria followed by an unpleasant tube ride to the City. 
0,they killed off a character on one of my favorite shows and now i'm upset 
0,Listening to Q! I got a really bad headache and a drivin lesson in ten mins.... Lucky me  i just wana sleeep!  
0,"@Steve_Buscemi SHUT UP you...I am hungry! And in Britain, home of the most boring suckassy breakfast in the world!  I MISS DENNYS!!"
0,@chauncey78 hey did u talk to mom.. r they home yet? i hope they r ok.. wish i was coming home 4 easter.. 
0,"@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes. "
0,@rj i don't know what half of that means 
0,Sad about Kutner being killed off my fav show House! 
0,@emiliexclarkex miss you 
0,@stephenkruiser I'm so sorry to hear about your dog 
0,oh I thought the pirate bay trial verdict was today :-s apparently it's in 10 days 
0,Listening to Bjork's All is full of Love... crying 
0,"Omg the hills! Then I love money2, aww I think becky buckwild goes "
0,is craving for some tantan nabe  http://plurk.com/p/mzxcs
0,"Lost my phone some where.maybe in the grass, its just so long, hope it doesn't rain "
0,@tomatosalsa hope you aren't referring to me  say hello to your new stalker LOL
0,@brettyboo why were u sleeping?! Ur gonna be up all night now  how was ur bike ride?
0,i feel unloved. dropped 2 tweeters 
0,@astewart87 oh my gosh that made me emotional haha idk why!!! i dont want to get old 
0,@linuxfoundation - Who should I contact if I need a 1099 for freelance work I did on Linux.com throughout 2008? Never got one. 
